Population	Super Population	Structure	Cryptic Relatedness
ACB	AFR	YES+	YES+
ASW	AFR	YES+	YES+
ESN	AFR	YES+	YES+
GWD	AFR	YES+	YES+
LWK	AFR	YES+	YES+
MSL	AFR	YES+	YES+
YRI	AFR	NO	YES+
CLM	AMR	YES+	YES+
MXL	AMR	YES+	YES+
PEL	AMR	YES+	YES+
PUR	AMR	YES+	YES+
CDX	EAS	YES+	YES+
CHB	EAS	NO	YES+
CHS	EAS	YES	YES+
JPT	EAS	NO	YES+
KHV	EAS	NO	YES+
CEU	EUR	NO	YES+
FIN	EUR	NO	YES+
GBR	EUR	YES+	YES+
IBS	EUR	NO	YES+
TSI	EUR	NO	YES+
BEB	SAS	YES	YES+
GIH	SAS	YES+	YES+
ITU	SAS	NO	YES+
PJL	SAS	YES+	YES+
STU	SAS	YES+	YES+
