"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"E2F1",0.0207108605059229,0,1.53210777398272e-14,0,0.00245333068172021,0.366909469199261
"E2F4",0.036025401798634,0,0,0,-0.00264498539801196,0.938198577837668
"EGR1",0.0265074839784669,0,1.54330866153352e-06,0,0.00590908712356484,0.825813671477174
"ELF1",0.0117606894411187,0,4.07372626298752e-07,0,-0.00250561442284695,1.3950333728943
"ELK1",0.0233364594942194,0,0,0,-0.00526346313261472,2.39378116699001
"ELK4",0.0244878823330784,0,0,0,-0.0156809082877305,9.16584290411612
"ESR2",0.0102609651493353,0,3.85378367597777e-05,0,-0.00163523419779089,0.423897717891218
"GABPA",0.0253083518760543,0,0,0,-0.00661962074037748,0.765626458773679
"MEF2A",0.00154803289263234,0,0.148224380202939,0,-0.00257097197125053,0.302005444937912
"MYOD1",0.0104410587621715,0,9.6296655799577e-05,0,0.000932028692440538,0.132316420091645
"NR5A2",0.0104937423874811,0,0.000178412921198356,0,0.000559942134766838,0.0785243354110349
"NRF1",0.0281892986829146,0,0,0,-0.00471433759287995,2.33694705708299
"SP2",0.0371167627432767,0,5.26925341137741e-08,0,0.00458846951551964,1.73928318292953
"TCF3",0.0112153511172826,0,7.03702889293112e-08,0,-0.0133771815615238,8.4671366319016
"ZBTB33",0.0164433835722806,0,4.81170658872543e-13,0,-0.00660993364969049,0.890209433837776
"ZFX",0.0203514055250403,0,8.80639982714371e-07,0,0.00158934835673077,0.192044580888663
"ESR1",0.0140144964787795,0.01,1.9988033669982e-05,0.0565517241379311,0.00017832983491465,0.0410119244745854
"FLI1",0.00922802946536566,0.01,0.00125034058439444,0.0565517241379311,-0.0115428708242668,3.14786925659613
"HNF4A",0.0112365681961997,0.01,7.89424899036995e-05,0.0565517241379311,0.000710359569242805,0.126922098273417
"INSM1",0.0118761855343935,0.01,1.3306495651122e-05,0.0565517241379311,-0.00667464264006711,0.752663796850456
"KLF1",0.0136022833111368,0.01,7.81522553980896e-05,0.0565517241379311,-0.00845067174070282,0.66535210054929
"KLF4",0.0227487359920588,0.01,1.73332756570055e-06,0.0565517241379311,0.0071313750740962,1.65264357788926
"MYOG",0.0103904526674226,0.01,7.69903906991942e-05,0.0565517241379311,0.00620240239755597,1.63632760892635
"PAX6",0.00290724944905361,0.01,0.138426908059798,0.0565517241379311,0.00502858649559276,0.640817481438393
"PPARG",0.0129693494562756,0.01,4.25096997154206e-05,0.0565517241379311,0.000495524258446512,0.0703990956316884
"REL",0.00101873979949317,0.01,0.103719008041012,0.0565517241379311,0.00103662839535489,0.186441400808776
"SP1",0.0286293324122029,0.01,5.04090203949925e-05,0.0565517241379311,0.0047547179709695,1.01218959547556
"TCF12",0.00989982173253589,0.01,0.000403149784442558,0.0565517241379311,-0.0291133240495527,6.11557797442012
"ZEB1",0.0114497317028727,0.01,2.43663466625854e-05,0.0565517241379311,-0.00321605388061041,0.436295312877704
"EBF1",0.0125226930433759,0.02,5.70800443866482e-06,0.0993939393939395,-0.0515523725492663,8.5373760814969
"NR2E3",0.00346145692062177,0.02,0.124344809097111,0.0993939393939395,-0.00331562869267626,0.643126034201697
"RXRA",0.0115474056605876,0.02,0.000212894991560075,0.0993939393939395,0.00373866183707877,1.30333529095752
"STAT3",0.00145378822468985,0.02,0.158636263415463,0.0993939393939395,0.00456349136381129,3.22016587469104
"E2F3",0.0109014432361873,0.03,0.00365279029376131,0.132972972972973,-0.00386846841909645,1.23183176445968
"FOXC1",0.00266622954003891,0.03,0.156032771472002,0.132972972972973,0.00761528875129351,1.64717348102221
"KLF5",0.0168553278850717,0.03,0.0080172825335878,0.132972972972973,0.0223150879471821,7.99532529930919
"TFAP2A",0.0109139970790905,0.03,0.00675502236874315,0.132972972972973,0.00181209500346236,0.207556207505977
"CEBPB",0.00275286663686603,0.04,0.181206401669959,0.16,0.00305686819146261,2.40215795170689
"CRX",0.00238329651681966,0.04,0.152726003079882,0.16,0.0100594799300224,2.39436778562579
"NKX3-2",0.00198781091114084,0.04,0.20795042046629,0.16,0.0108090902763772,2.66487272686848
"T",0.00266833404092831,0.04,0.155209183963341,0.16,-0.000888608776606225,0.110089618582362
"HNF4G",0.00987961805049103,0.05,0.00861269377789742,0.190697674418605,0.00501377228304012,0.85703973194486
"PAX2",0.0129522499865454,0.05,0.0239625413298603,0.190697674418605,0.00182390326779613,0.308450837924915
"MYB",0.00166979762888917,0.0600000000000001,0.138555212079048,0.213913043478261,0.000668632070996939,0.0761932957297205
"PAX4",0.00133800836133128,0.0600000000000001,0.212419582413197,0.213913043478261,0.00742431721956023,1.68092706966364
"RFX2",0.00144311828919463,0.0600000000000001,0.210059631729964,0.213913043478261,0.019725561288891,4.51735174001734
"MEF2C",0.00216180967817314,0.0700000000000001,0.21699873408563,0.239166666666667,-0.00505177249580378,1.29001297866946
"PAX5",0.00782309979448366,0.0700000000000001,0.0550463187079753,0.239166666666667,-0.0112469549423547,3.61179718578429
"TFAP2C",0.0113206057286827,0.0800000000000001,0.0280219208710002,0.267755102040817,0.00767748239330641,1.46186946525032
"CTCF",0.00908683130885843,0.0900000000000001,0.0419089944431159,0.2952,-0.00713664567333121,7.7551802470219
"EGR2",0.0103358189541471,0.1,0.0606890993304841,0.309433962264151,-0.011161381074735,0.617069923163157
"IRF2",0.0107733476710071,0.1,0.102574550907466,0.309433962264151,-0.002881684654931,1.65321667382572
"ZNF143",0.00911973812056303,0.1,0.0758874024234897,0.309433962264151,7.17840299883583e-06,0.000941623845397933
"ATOH1",0.00701489427058535,0.11,0.130775235163039,0.328,0.00299644979932896,0.481996467669254
"RFX1",0.00141015012380013,0.11,0.208771180203666,0.328,0.00824057772109408,3.32009621588969
"FOXH1",0.00340513789854989,0.12,0.251749007976393,0.345263157894737,0.0130325795150077,2.74956264971575
"NR2F1",0.00804335190050822,0.12,0.0864653612457327,0.345263157894737,0.000625008277588807,0.141556009343221
"EN1",0.00214263219524081,0.13,0.225397631470636,0.36135593220339,0.0158415206241179,3.22112510033887
"GFI1",0.00275320792741786,0.13,0.282908057839014,0.36135593220339,-0.0118089114467539,1.48306453984473
"IRF1",0.00686491779734336,0.14,0.113130915128556,0.370322580645162,0.00738330368532657,5.08060078562136
"MAFK",0.00281521711741117,0.14,0.237991062299645,0.370322580645162,0.00295917890159932,1.3207325731035
"PBX1",0.00555926747439576,0.14,0.244137477094,0.370322580645162,0.0125980255464446,1.17872777977732
"RELA",0.00161810563861019,0.15,0.258429394658054,0.39047619047619,-0.00537850182218967,3.60349648772421
"STAT4",0.00200900076730662,0.16,0.262369536485153,0.41,-0.0115734369605194,3.33048448982089
"HLTF",0.00409026500579154,0.17,0.30652081697118,0.416119402985074,-0.0118924700830321,1.3815947373477
"SOX9",0.00454571607272842,0.17,0.292895691121462,0.416119402985074,-0.00541300077990354,0.874661805235012
"SPZ1",0.00183391237190275,0.17,0.300258087725187,0.416119402985074,0.00546047538594323,0.773711255745678
"RREB1",0.00775824849843436,0.18,0.170214179067935,0.434117647058823,-0.00138002861619319,0.668627516329992
"MYC",0.00871522777837803,0.19,0.148835334034878,0.445142857142857,-0.00738020863287981,1.80738850416035
"PLAG1",0.0103374966269317,0.19,0.126246473116584,0.445142857142857,-0.0459369835192566,3.25995951795835
"RORA",0.00276663609799915,0.2,0.263879250616096,0.461971830985915,-0.0204296114844971,7.32416302259847
"MZF1",0.00656457789591345,0.21,0.213336093868469,0.478333333333333,0.00604290067861927,1.98597129335849
"HINFP",0.0116315063170399,0.22,0.199712101528336,0.494246575342466,0.00128547132910949,0.393655862924786
"BCL6",0.00230917763492449,0.25,0.349292498184038,0.546666666666667,0.011120762659762,3.56481399774962
"YY1",0.00650588033844951,0.25,0.227861777418912,0.546666666666667,-0.00104926928055809,0.343613836785439
"FOXO3",0.00923781285989619,0.26,0.294321765653105,0.553766233766234,0.00352823788379637,1.50535320133375
"GATA1",0.00440852844957564,0.26,0.36771409908985,0.553766233766234,0.00778867959233772,0.76984797521496
"MAFF",0.00312082907093636,0.28,0.275591380720543,0.585714285714286,0.00965864127528412,2.00974076307585
"MAFB",0.00691857712130013,0.29,0.354409854591395,0.585714285714286,0.00397234627422079,0.898621958907148
"RFX5",0.0056686967881451,0.29,0.331936947639007,0.585714285714286,-0.00966491642585273,7.59099677853446
"ESRRA",0.00558164426528562,0.3,0.462512950398205,0.585714285714286,0.0109354552181747,6.26791895699877
"GATA3",0.00604177249347005,0.3,0.311516737290805,0.585714285714286,-0.0194478362433712,8.09247397720846
"NR2C2",0.00673477885226339,0.3,0.233631604834991,0.585714285714286,-0.00278167491237505,1.29781549561915
"REST",0.00572667979063057,0.3,0.427426851621243,0.585714285714286,0.00300672202017088,1.07885620205772
"FEV",0.00689660136717516,0.31,0.298112564090304,0.591162790697675,-0.00143804659303929,0.205487256887855
"SOX2",0.00306557734321022,0.31,0.368585768978928,0.591162790697675,0.00378309892944672,0.826764800218648
"ETS1",0.00523674500317361,0.34,0.441151443245272,0.640919540229885,-0.00989564330767997,5.92208469591413
"GFI1B",0.00298783007294192,0.36,0.366057989236739,0.670909090909091,0.00359010236720893,0.410469743823082
"HSF1",0.00237770748133286,0.37,0.368856020106794,0.681797752808989,-0.00241668286594668,0.694939389652724
"CEBPA",0.00504875880412329,0.38,0.437263954449704,0.684835164835165,0.00277786191155858,0.499768181970611
"SPI1",0.00527264589948067,0.38,0.481161425607799,0.684835164835165,0.00685503760431265,2.98767420539132
"POU2F2",0.0104946724169267,0.39,0.430578185629756,0.687741935483871,0.00110201023411276,0.294670347909922
"JUND",0.00298770674231365,0.39,0.41023216759641,0.687741935483871,-0.000559725785649684,0.159853148946825
"TFCP2L1",0.00506326661219242,0.4,0.54883646960377,0.69319587628866,0.00440255907466636,0.692594044317164
"AR",0.00644804731574533,0.41,0.430320525213104,0.69319587628866,0.00435911967778425,0.51270007758244
"NFYB",0.00637694782481409,0.41,0.557014700689608,0.69319587628866,-0.00479674244526003,0.309333992488015
"SREBF2",0.00623457899232329,0.41,0.528099004577628,0.69319587628866,0.00310280197979167,0.964422210658977
"RUNX2",0.00492445497944453,0.43,0.564412569432509,0.719591836734694,-0.00790710957784747,2.4590556014027
"TP63",0.00483058460021001,0.44,0.462807631761453,0.728888888888889,0.00404846515866667,0.999360860100397
"THAP1",0.00506681090607869,0.45,0.525816155161295,0.738,-0.0238868300699133,3.40649583521905
"USF1",0.00287220189970986,0.46,0.439626519948733,0.741153846153846,0.0228617743803514,4.30273263768021
"ESRRB",0.00536899202631515,0.47,0.506842222914186,0.741153846153846,0.00417253281338022,0.774057714080371
"GATA2",0.00528665089439182,0.47,0.393436356164436,0.741153846153846,0.02022918064971,5.85447680577244
"GATA4",0.00493221308724591,0.47,0.425116533981842,0.741153846153846,0.00427174747024207,1.01981735436347
"FOXL1",0.0167140233387033,0.48,0.566165318792561,0.749714285714286,0.0043073488642145,0.874353563701549
"TCF7L2",0.00421909347599931,0.49,0.471828205416446,0.75811320754717,-0.0122453126685643,2.69611150851202
"CREB1",0.00391648789216111,0.5,0.467579331934406,0.766355140186916,0.000593481766401858,0.122921340679873
"SRF",0.00462167525518983,0.52,0.510644835480661,0.776071428571429,-0.00256579330495241,0.914609394895396
"TP53",0.0038944680305577,0.52,0.460827547474959,0.776071428571429,-0.00956559166197657,5.9030715366659
"FOS",0.00535870046901953,0.53,0.475098036104108,0.776071428571429,0.00460242151278421,0.662346763549197
"JUN",0.00305538928774057,0.53,0.495370960779685,0.776071428571429,-0.00521915170234601,1.42141644838331
"NOBOX",0.00835922313001367,0.53,0.453393288386319,0.776071428571429,0.00500801169678872,0.924343032658052
"HNF1B",0.014058368080084,0.56,0.707605808216876,0.805614035087719,-0.00876781440934853,1.16647524223141
"SPIB",0.0053670377670758,0.56,0.748146571310728,0.805614035087719,-0.0297548496710236,6.93428785469298
"NFKB1",0.00265660134149492,0.57,0.533370604774355,0.805862068965517,0.00606668196291428,3.28849650706064
"SOX3",0.00286688917653079,0.57,0.538838704369904,0.805862068965517,0.0045289228707041,1.0921532029151
"SOX6",0.003827221160636,0.59,0.527556934864523,0.827008547008547,0.0121083273078606,1.02488166020351
"EHF",0.00287780568516203,0.61,0.564351735827294,0.840672268907563,-0.000691943724887612,0.102603063206125
"FOXP1",0.00590466292951926,0.61,0.65255872222263,0.840672268907563,-0.00622979703891858,4.79518941940553
"NHLH1",0.00244420297095615,0.62,0.53332726796423,0.847333333333333,0.0155537473184991,2.85934762752386
"USF2",0.00506555533926536,0.63,0.651132742573842,0.853884297520661,-0.00128276488558336,0.390012237296758
"NFYA",0.00505794634954998,0.64,0.736520563405247,0.860327868852459,0.00148457610789581,0.421721607498645
"STAT6",0.00478517617375957,0.66,0.598922727413465,0.877209302325581,-0.000150964291887435,0.0420554036455764
"FOXI1",0.0046632215336435,0.67,0.583773001907061,0.877209302325581,0.00417613839825314,0.548039779063423
"NFATC2",0.00560573940610266,0.68,0.904039338671627,0.877209302325581,-0.00854877270254984,3.48003133454157
"BHLHE40",0.00339956337191128,0.68,0.595345670232957,0.877209302325581,0.00542984189940132,1.87042008759869
"NR3C1",0.00363733074636212,0.68,0.591129906420159,0.877209302325581,0.000666405489568322,0.147683772989913
"FOXD1",0.0105734047237919,0.69,0.771301790315478,0.877209302325581,0.00846070401445338,0.775234852586423
"MECOM",0.0077722148967095,0.69,0.601676629785593,0.877209302325581,0.0209073587868975,3.32075437492525
"TBP",0.0095279118483918,0.71,0.843427889775517,0.895692307692308,-0.00736122463514586,3.60477035299007
"TEAD1",0.00385166782654523,0.72,0.619693865252934,0.901374045801527,0.00123513503183493,0.141745926368716
"FOXQ1",0.0113948474977107,0.73,0.87023010817573,0.906969696969697,0.0124674356588137,0.789084832497017
