"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"CRX",0.00303548094950244,0,0.080279410772002,0,0.00539316672549324,0.658723438396278
"E2F4",0.0143052295625106,0,6.20839823994856e-09,0,0.000332549340382774,0.0653389043806806
"ELK1",0.0174489321528966,0,2.22044604925031e-16,0,-0.000617248414600322,0.10425876277579
"ELK4",0.0125424898117966,0,1.25368027070749e-09,0,0.00139810415195531,0.216086693212687
"FOXC1",0.00282457770514687,0,0.0483118027222259,0,0.000550297406884143,0.0438593222899971
"FOXL1",0.00452496351325964,0,0.0656812605936459,0,0.00754009549210038,0.955512142276427
"GABPA",0.0157428078146368,0,1.11022302462516e-15,0,0.00714686440342033,0.665931513364813
"GFI1",0.00163341650911018,0,0.0360127444446809,0,-0.0031613238301399,0.164065806108875
"HLTF",0.00206370149536626,0,0.0290839727502016,0,-0.00899411235597304,0.907426916690813
"HOXA5",0.00520907993239279,0,0.0712616398947596,0,0.010686858715827,0.340392430434775
"MEF2A",0.00144897292949246,0,0.0226441012716703,0,0.0129005231876066,3.57663610677063
"MEF2C",0.00127344922812243,0,0.032156868057158,0,0.00919278780539704,1.57368187820077
"NR2E3",0.00322413234976953,0,0.0523949912084436,0,0.00320364973451624,0.309773161381654
"PBX1",0.00277376848347548,0,0.0304603518471857,0,0.0101310852494172,0.438692300519753
"RFX1",0.000882509935824726,0,0.0378389367862815,0,0.00655238379228639,2.42526837472168
"STAT3",0.00126061907870013,0,0.0323388507395053,0,0.00378725998143026,1.54995001950221
"STAT4",0.00148924157855934,0,0.0654682716059979,0,-0.0135392602006038,2.30209361245609
"TP53",0.0019357764287791,0,0.0554758516588537,0,-0.0135299985724901,1.62967611324801
"BRCA1",0.00166821694659201,0.00499999999999989,0.0608228508494519,0.0303703703703697,0.0105965219010589,1.61049496327319
"HNF1B",0.0034572224111938,0.00499999999999989,0.0390659174302237,0.0303703703703697,0.00787164064694629,1.15521459027862
"NFIL3",0.00674093212651071,0.00499999999999989,0.108502530359124,0.0303703703703697,0.0258976556140084,2.12787060090272
"NKX2-5",0.00142308777828642,0.00499999999999989,0.0696713348826004,0.0303703703703697,0.0143233820047798,3.42700274707392
"NRF1",0.0114726820345627,0.00499999999999989,7.80656669348012e-05,0.0303703703703697,-0.0145719672449316,5.39447032489046
"PAX2",0.00269837759649046,0.00499999999999989,0.0919528088487882,0.0303703703703697,0.00803798809127747,1.22886023651022
"RORA",0.00151191143543663,0.00499999999999989,0.0396303817679743,0.0303703703703697,-0.0120319510211599,1.36548191850815
"SOX3",0.00159188749342659,0.00499999999999989,0.0733649767519118,0.0303703703703697,0.0107791925043551,1.63837816984697
"SREBF1",0.00126117413391885,0.00499999999999989,0.0447057275061228,0.0303703703703697,-0.00515594245110468,0.996769435801818
"GFI1B",0.00166918484417419,0.01,0.0619660326966721,0.0482352941176471,-0.000426794841350258,0.0152497046903676
"MAFB",0.00167765562829456,0.01,0.0735796434962609,0.0482352941176471,0.0231693703057777,4.27496696221818
"NFYA",0.00161510337830397,0.01,0.0537354981096189,0.0482352941176471,-0.00328243275432198,0.770103794888381
"REL",0.00145537888321912,0.01,0.0884222051685144,0.0482352941176471,0.00499221577137807,0.857734505360728
"RFX2",0.00117435428737252,0.01,0.0701412128988939,0.0482352941176471,0.0229237827197577,5.13453936710083
"TEAD1",0.0020022220319641,0.01,0.0859958912837377,0.0482352941176471,-0.00831382772132465,0.976539086366224
"ZBTB33",0.00924897675956279,0.01,0.000591118235423682,0.0482352941176471,-0.00169814191813351,0.351971275096797
"EBF1",0.00954194301688826,0.0149999999999999,0.000962965078670885,0.0599999999999996,-0.0313531170322096,1.44822789606116
"HOXC9",0.00457182259171511,0.0149999999999999,0.0789010435186627,0.0599999999999996,0.00403414443374272,0.272475638566363
"RELA",0.00179730321560538,0.0149999999999999,0.120585191584541,0.0599999999999996,-0.00920369306005511,1.95839592199433
"SPZ1",0.00134124833578732,0.0149999999999999,0.0712115028626982,0.0599999999999996,-0.0326123609714332,4.14574265864411
"T",0.00261640082460894,0.0149999999999999,0.055314827895295,0.0599999999999996,-0.0185960965389237,1.32239060647934
"TFAP2A",0.0104822685003512,0.0149999999999999,0.00639005350943944,0.0599999999999996,0.0200175305343673,2.59497635646208
"USF1",0.0017126745443152,0.0149999999999999,0.0537908028702466,0.0599999999999996,0.0178985817136759,1.68153477330253
"BHLHE40",0.00190627139577361,0.02,0.103309712977061,0.0728888888888889,0.0158677604206278,1.5672852162907
"HNF1A",0.00492903007467156,0.02,0.11436966393415,0.0728888888888889,0.00628071077313524,1.07035131166697
