"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"E2F1",0.014758769974666,0,2.38989428247294e-09,0,0.00245333068172021,0.366909469199249
"E2F4",0.0235851333650743,0,0,0,-0.00264498539801196,0.938198577837697
"ELK1",0.0177386438862162,0,4.59632332194815e-14,0,-0.00526346313261472,2.39378116699004
"ELK4",0.0168449809408425,0,2.95319324550292e-14,0,-0.0156809082877305,9.16584290411608
"ESR2",0.0109926705235436,0,6.19521096290043e-06,0,-0.00163523419779089,0.423897717891226
"GABPA",0.0184612305912293,0,0,0,-0.00661962074037748,0.765626458773663
"INSM1",0.0137006797523627,0,4.33677862510251e-08,0,-0.00667464264006711,0.752663796850454
"MYOD1",0.011756088836924,0,4.64343223871566e-08,0,0.000932028692440538,0.132316420091627
"MYOG",0.0108642645405943,0,3.4998115894247e-07,0,0.00620240239755597,1.63632760892637
"NRF1",0.0196238133037304,0,4.30766533554561e-14,0,-0.00471433759287995,2.33694705708298
"TFAP2A",0.0141890944090093,0,1.16421887959017e-05,0,0.00181209500346236,0.207556207505975
"ZBTB33",0.0131027057237195,0,9.84894388267321e-11,0,-0.00660993364969049,0.890209433837786
"ZFX",0.017515341464255,0,1.13547285063298e-05,0,0.00158934835673077,0.192044580888655
"EBF1",0.0118002734839063,0.00499999999999989,2.07749655212197e-06,0.0356521739130427,-0.0515523725492663,8.53737608149692
"ESR1",0.0168713795177128,0.00499999999999989,1.77957328872935e-08,0.0356521739130427,0.00017832983491465,0.0410119244745832
"FOXC1",0.00181091543243386,0.00499999999999989,0.0800688905758827,0.0356521739130427,0.00761528875129351,1.64717348102221
"HNF4A",0.0107856703004802,0.00499999999999989,6.66316553088464e-06,0.0356521739130427,0.000710359569242805,0.126922098273403
"HNF4G",0.00986073645707363,0.00499999999999989,8.11483239864241e-05,0.0356521739130427,0.00501377228304012,0.857039731944845
