"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"EBF1",0.0120621330420911,0,1.70199330851162e-07,0,-0.00426526938738479,0.424039632941651
"ELK1",0.0150821378372887,0,2.43605136063252e-12,0,0.0017678578117438,0.227092072340588
"ELK4",0.0151616595245431,0,4.78728168218368e-13,0,-0.0149347755442592,3.99963124836803
"FOXC1",0.00205036777463991,0,0.0450326841128547,0,0.0223111738545385,2.67955999229325
"GABPA",0.0175780263914571,0,0,0,0.00492528801248688,0.949751655012717
"INSM1",0.0127083770635471,0,3.11614995673892e-06,0,-0.00919794594084922,1.04146362187717
"JUNB",0.0236262970512633,0,1.20230383959807e-06,0,0.01364077231979,0.917410925381449
"MZF1",0.00996112962581976,0,0.00029225094655283,0,-0.00660146524829438,3.23515129104756
"NRF1",0.0122438565633541,0,0.000103535270955302,0,-0.00598353472645033,1.21254978398176
"PLAG1",0.0218564931542818,0,6.5080718814059e-08,0,-0.0183563171531118,3.29357395685105
"RFX1",0.0233107261198056,0,0,0,-0.012471214391404,4.04476812806594
"RFX2",0.0199805168014298,0,0,0,-0.0439673067603996,7.93286098626112
"ZBTB33",0.0117764229811757,0,1.33993193252024e-06,0,0.0224244729198845,8.09051503235759
"E2F4",0.0160113750611817,0.00499999999999989,2.89876100900699e-09,0.0369999999999992,-0.00714279847799235,2.4326534559073
"FOS",0.0198033327576615,0.00499999999999989,0.0002383623653337,0.0369999999999992,-0.00100480129303702,0.0512793750393041
"FOSL1",0.0220372515449911,0.00499999999999989,6.92406410451873e-06,0.0369999999999992,0.00366671183233734,0.138314694637675
"NR2E3",0.00355948255581882,0.00499999999999989,0.0907352063578363,0.0369999999999992,-0.0184994516361456,4.21692498073818
"PAX5",0.0111770930482862,0.00499999999999989,0.000132379483171352,0.0369999999999992,-0.00135775630743099,0.120255964314716
"RFX5",0.00990434102425933,0.00499999999999989,0.000193969295512186,0.0369999999999992,0.00385077357454974,1.21102087179641
"TFAP2C",0.0147571076127243,0.00499999999999989,1.83616295994504e-05,0.0369999999999992,0.00761342407093725,0.535604273442344
"CEBPB",0.0028527759621418,0.01,0.0823504518715281,0.0643478260869566,0.00382503218511409,0.92091887406748
"EGR2",0.0150343025454958,0.01,0.000310720889839633,0.0643478260869566,0.0209554911371513,2.24320760918471
"JUN",0.0141251615328715,0.01,4.54872598387723e-06,0.0643478260869566,-0.0122958400047682,1.70367011751528
"E2F1",0.0112639717386168,0.0149999999999999,0.000454632849373304,0.0887999999999994,-0.0271286680838752,6.12724451218805
"ESR1",0.0126861355698095,0.0149999999999999,4.51033546140511e-05,0.0887999999999994,0.00297437393479828,0.322122489927302
"CEBPA",0.00394139899188779,0.02,0.103904865895909,0.105714285714286,0.0115020726676119,1.87576028268379
"MEF2C",0.00214716356800826,0.02,0.0870815477788013,0.105714285714286,0.00595946934388135,1.39839267740763
"T",0.00325976688567061,0.02,0.117374461915691,0.105714285714286,-0.00482438176993728,0.36824195006143
"ELF1",0.00894851359817492,0.0249999999999999,0.00376335438762054,0.115625,-0.00464456823812223,0.909354686321883
"MYC",0.013057353471385,0.0249999999999999,0.00256278268028187,0.115625,-0.00481851676448545,0.334831618512935
"NKX3-2",0.0023665972735875,0.0249999999999999,0.123284357702355,0.115625,0.00997363230252369,0.752114282484219
"NR2C2",0.00983220262048449,0.0249999999999999,0.00397510405862511,0.115625,-0.0136612243017732,6.23539660661536
"IRF2",0.0135124217569777,0.0349999999999999,0.00860369330715294,0.15235294117647,-0.0084639568084665,1.39871888982047
"MEIS1",0.0088360594022059,0.0349999999999999,0.00470294018510931,0.15235294117647,-0.0240256495714804,8.80110420822057
"MAFK",0.00319163338490593,0.04,0.122115341138677,0.164444444444445,-0.014858284588275,4.86391775691506
"ZNF143",0.00956383510579827,0.04,0.0112356893291954,0.164444444444445,0.0117777409996761,4.26531867970554
"GATA1",0.00388780148125184,0.0449999999999999,0.143621805642998,0.175263157894737,0.00129507113585307,0.11925455498448
"REST",0.00951056902491467,0.0449999999999999,0.0105959901117858,0.175263157894737,-0.0103885733298505,2.87448676773861
"CRX",0.00379236784605877,0.05,0.11464668350857,0.18974358974359,0.0190455984272324,2.43128716894042
"NFE2L2",0.00256541942967843,0.0600000000000001,0.14680533270192,0.218636363636363,0.0116315676354827,0.992276531869861
"FOXH1",0.00428079325853399,0.0649999999999999,0.151665130173182,0.218636363636363,-0.00126068793417008,0.169051627264007
"MYOD1",0.00752706433196812,0.0649999999999999,0.0189680543537618,0.218636363636363,-0.00549087861247067,0.616995646560429
"NFKB1",0.00793075560403056,0.0649999999999999,0.0178309310235174,0.218636363636363,0.000872800216676742,0.140431843460776
"PBX1",0.00649760094918409,0.0649999999999999,0.158918556237886,0.218636363636363,-0.0105767100369541,2.21597020617783
"GFI1",0.00310175185326368,0.0700000000000001,0.147935704768277,0.225217391304348,0.00255186098472449,0.219573799519336
"RORA",0.00315981307862271,0.0700000000000001,0.178493815483189,0.225217391304348,-0.0161319934843159,3.71120621529264
"KLF4",0.0142754842560643,0.075,0.055740169140128,0.23125,-0.0240347779725097,2.94591729480136
"TBP",0.0173238819098684,0.075,0.0580984393584694,0.23125,0.00478442227361725,2.19294590718724
"ESR2",0.00670773714360766,0.085,0.0518579146200082,0.256734693877551,0.0307483224347358,3.85959903985336
"GATA3",0.00668315876130951,0.0900000000000001,0.209964729067233,0.2664,-0.0346735288447509,8.07720887959273
"FOXQ1",0.0208785975017184,0.1,0.0570649813160726,0.284615384615385,-0.0153848051124339,2.98930689890545
"TCF7L2",0.00359807098431506,0.1,0.203484030033594,0.284615384615385,0.00556497091980258,0.567388535742759
"TCF3",0.00679171589095763,0.11,0.0746449343812925,0.307169811320755,-0.00733025455739253,4.59447113846307
"SOX9",0.00539366635851078,0.115,0.204740651754922,0.315185185185185,0.000699184825680955,0.0463852133334004
"EN1",0.00288451471161288,0.125,0.214550167103481,0.324561403508772,-0.00931455296968663,0.533027663702193
"HOXA9",0.00719127321298352,0.125,0.230812056152481,0.324561403508772,0.00990624834645632,0.806909219112369
"SPZ1",0.00226054642084505,0.125,0.21543108867044,0.324561403508772,-0.0166351847626022,2.02953461453153
"IRF1",0.00701267613134262,0.135,0.100720081110641,0.33864406779661,-0.0141115827034637,2.0410185625871
"THAP1",0.00716277555345149,0.135,0.121291894841576,0.33864406779661,0.00648956905969862,1.42773826984745
"CTCF",0.00891526437125788,0.14,0.101400748936167,0.339672131147541,-0.0101767330966643,6.70078227690103
"KLF1",0.00878434880856778,0.14,0.112716877671995,0.339672131147541,0.0220195625648875,7.48838044906571
"MYCN",0.00937150506669495,0.15,0.106002858813385,0.353913043478261,0.0155543176193899,1.23681323628991
"HOXA5",0.0103761649077701,0.16,0.261352178518996,0.353913043478261,-0.0102489093368409,1.11761350805798
"MECOM",0.00635148896592935,0.16,0.234068488568413,0.353913043478261,-0.000840664980270158,0.12736171784058
"MYB",0.00331890022713515,0.16,0.208104933301828,0.353913043478261,0.0180047071242741,2.48744269408125
"STAT3",0.00271089716470279,0.16,0.223582337944724,0.353913043478261,0.0196101968080926,6.75181485748497
"HSF1",0.00257145592513975,0.165,0.263105764637009,0.353913043478261,-0.0073112756467953,9.15710071483095
"MAFB",0.00284341617673769,0.165,0.246579403652545,0.353913043478261,0.000605495464031536,0.0996903152518408
"NR5A2",0.00636703332472229,0.165,0.143348408423195,0.353913043478261,-0.0135621457690625,1.55605371280065
"SP1",0.0179191267355651,0.17,0.208909632410061,0.359428571428571,-0.00302197653382205,0.857622215970702
"SP2",0.0213377256579338,0.18,0.190475967627644,0.375211267605634,-0.0128418534450759,4.88812855346969
"MAX",0.00865263723307441,0.19,0.208130106116908,0.390555555555555,-0.000680515359728404,0.158304494494351
"TP53",0.00359098803805805,0.195,0.221166154086896,0.395342465753425,-0.00348927588399195,0.493897828573952
"MYOG",0.00577733925954536,0.205,0.203998143155601,0.41,0.0109872546023577,1.94038084715485
"HLTF",0.00541721508457454,0.22,0.267299168590243,0.434133333333333,0.0108554719055324,2.66490355940127
"RXRA",0.00583027092223447,0.225,0.214458093630596,0.43475,-0.00173009184159561,0.465309360496701
"HINFP",0.0047503154667002,0.235,0.2932519666924,0.43475,-0.0108968713714027,5.62830584007976
"MAFF",0.00416192950945305,0.235,0.266029313565697,0.43475,-0.00635745056302283,0.375440824872603
"FLI1",0.00592434265479692,0.235,0.223819162096854,0.43475,-0.00837341739946947,3.24249132333977
"ZFX",0.0103414032313323,0.235,0.253295827031412,0.43475,-0.0119805594109219,3.04979806198459
"ESRRA",0.00654899900521096,0.245,0.253787350932653,0.44219512195122,0.00670125540759157,3.98708743562324
"KLF5",0.0130733011841521,0.245,0.271478397207296,0.44219512195122,-0.00764329358814365,1.14324854037567
"NFIL3",0.026408548796815,0.265,0.346001793214154,0.466904761904762,0.00342944783939861,0.273770583871008
"TEAD1",0.00360662700273715,0.265,0.329425274802856,0.466904761904762,-0.0122165177963998,4.30737801030313
"E2F6",0.00743542628699192,0.29,0.324015632485961,0.49906976744186,-0.00168658074777681,0.486392972729282
"NR4A2",0.00351550457090503,0.29,0.322110716082658,0.49906976744186,0.0196435190110999,1.02132646306111
"HNF4G",0.00585244742876186,0.295,0.323614187591198,0.50183908045977,-0.00122674470010984,0.0875138327507674
"PPARG",0.00708911996586137,0.305,0.331217188148058,0.512954545454545,0.00745133374241656,1.02188397369352
"FEV",0.00684545936401087,0.315,0.312101704238468,0.518,-0.0248718353828539,3.99249281723148
"TCF12",0.00545128207512938,0.315,0.345200441956248,0.518,0.0071968155731368,1.45350792671496
"GFI1B",0.00364192629191686,0.335,0.355682948869054,0.544835164835165,-0.000587024068795882,0.0627811629540292
"FOXO3",0.00895233825659833,0.35,0.38940904831167,0.56304347826087,-0.00049598205501024,0.0912968401025564
"NFYA",0.00342903593448603,0.41,0.417526537940339,0.649387755102041,-0.00556924991602979,1.60399110500338
"FOXP2",0.00989607799901597,0.415,0.41217335130515,0.649387755102041,-0.0235042588038803,4.72091423672208
"FOXA2",0.0109222238425036,0.42,0.55989390805171,0.649387755102041,-0.0278550818882016,9.33844255822364
"HNF1A",0.0159869069571845,0.425,0.495367718303934,0.649387755102041,-0.0408214750335901,5.57025558321354
"POU2F2",0.011254044945582,0.43,0.532539416636812,0.649387755102041,0.00708116955637992,1.55594783014667
"USF1",0.00622007737824721,0.43,0.478932041027928,0.649387755102041,0.0114814619476699,0.954951679878641
"PRDM1",0.00537059978652817,0.44,0.496460401833192,0.657777777777778,0.00995111927894869,1.4264751051674
"BHLHE40",0.00367685851225197,0.47,0.436777572622101,0.68921568627451,0.0135056027709099,1.38192995530147
"EGR1",0.0124410268820533,0.475,0.521043152586148,0.68921568627451,0.00295648294236088,0.225755618559303
"STAT6",0.00891185014120099,0.475,0.489038232540867,0.68921568627451,0.000627300444220186,0.0858972910455225
"FOSL2",0.00623088000469038,0.48,0.615255338623167,0.689708737864078,0.0014071346179724,0.0749706692619454
"CDX2",0.00758736540944204,0.49,0.46759952027376,0.697307692307692,-0.0276944692328336,1.86454222420749
"E2F3",0.00648395546621283,0.505,0.527897564379903,0.711809523809524,0.0308388480979496,10
"USF2",0.00573312689185706,0.51,0.551440939310948,0.712075471698113,0.000350130326368791,0.107370832342071
"TFCP2L1",0.00525460104755018,0.52,0.618012024385668,0.719252336448598,-0.015633684398143,1.83100876450456
"FOXA1",0.00943064169645402,0.53,0.665591997515084,0.726296296296296,-0.0103529711700379,1.16565993219945
