"","Magnitude","dTFI uncorrected p-value","dTFI normalized scores","dTFI FDR","log FC","limma -logp"
"CRX",0.0015448655554089,0,0.0306375112052998,0,0.0264685992904506,1.4242098812061
"E2F4",0.0147635730224934,0,1.97046140526513e-05,0,0.00134274541886141,0.194508331126113
"ESR1",0.0176088709913241,0,8.66565708079747e-10,0,0.0257215795278409,1.05638360340811
"GFI1",0.00120422995940192,0,0.0414178256128982,0,0.178017439648293,12
"MZF1",0.0121832343254923,0,2.57504939713549e-05,0,-0.0036966223964271,0.2892285471715
"NR2E3",0.00182232084733401,0,0.0303240235922475,0,-0.0303413272080697,0.803650219255028
"BRCA1",0.00114883424185644,0.00499999999999989,0.0589224162279181,0.0557692307692296,-0.0538031607596895,1.73144486760438
"ESR2",0.00923165861130962,0.00499999999999989,0.00015647207967695,0.0557692307692296,0.0859294940012446,3.25650827726525
"HLTF",0.00159972726889217,0.00499999999999989,0.0585235981280118,0.0557692307692296,0.0159757326196894,0.589896479606106
"INSM1",0.0116744242172704,0.00499999999999989,2.43462947069339e-05,0.0557692307692296,-0.0126562051248729,0.463397284225526
"NR2C2",0.0133285449069784,0.00499999999999989,7.89147149957703e-05,0.0557692307692296,-0.0766212946659812,4.36217474792906
"NRF1",0.013892080744168,0.00499999999999989,2.09931694641341e-05,0.0557692307692296,0.0285826119315152,1.073465942774
"TFAP2A",0.013858774255682,0.00499999999999989,9.21399530551259e-05,0.0557692307692296,0.147236991844823,2.91763730787088
"FOXL1",0.0050392061382771,0.01,0.0568591441506036,0.0852941176470589,-0.0485958919193706,4.5830056219252
"GABPA",0.00969060552195821,0.01,8.33439361098698e-05,0.0852941176470589,0.00927739619038241,0.549736624653923
"MEF2A",0.00179079572359631,0.01,0.066129212601203,0.0852941176470589,-0.049021745311099,2.17705018974045
"NFYB",0.00155462977516767,0.01,0.101747243148902,0.0852941176470589,-0.0403585277517201,3.14366292749232
"E2F1",0.0103903758558891,0.0149999999999999,0.0051399256327731,0.114473684210526,-0.154812271503222,8.3389158273688
"EGR2",0.0144973823927409,0.0149999999999999,0.00106730649709608,0.114473684210526,-0.0118664311460802,0.540852355577371
"ELK4",0.00858244751100103,0.02,0.00207913118992309,0.131818181818182,-0.0121134576608645,0.312729235008738
"MEF2C",0.00191308707581706,0.02,0.0972078879764254,0.131818181818182,0.00141448385912479,0.0741216278940788
"PBX1",0.00463770220135671,0.02,0.130633959804505,0.131818181818182,-0.0312679057849787,1.73584342376514
"EBF1",0.00885494921422601,0.0249999999999999,0.00468211107669525,0.144999999999999,0.0144702212480253,1.2351154867212
