TF	dTFI	rank	FDR	LIMMA	dTFI	rank	FDR	LIMMA	dTFI	rank	FDR	LIMMA	dTFI	rank	FDR	LIMMA
SP2	.0314	  1	.0357	.1756	.0100	  9	.6812	.6517	.0213	 6	.3752	.0075	.0176	 2	.7438	.0009
E2F4	.0236	  2	<.0001	.3913	.0143	  3	<.0001	.9367	.0160	14	.037	.0878	.0148	 7	<.0001	.8232
SP1	.0230	  3	.1551	.3634	.0089	 18	.7721	.0838	.0179	10	.3594	.4242	.0169	 4	.5516	.9759
ZNF263	.0226	  4	.311	.9834	.0089	 16	.3372	.0028	.0177	11	.7716	.0271	.0152	 6	.927	.1859
EGR1	.0224	  5	.1242	.4379	.0079	 23	.7597	.8540	.0124	28	.6892	.7979	.0152	 5	.5305	.0378
NRF1	.0196	  6	<.0001	.0966	.0115	  5	.0304	.0045	.0122	30	<.0001	.2974	.0139	11	.0558	.3418
GABPA	.0185	  7	<.0001	.4650	.0157	  2	<.0001	.5138	.0176	12	<.0001	.3868	.0097	32	.0853	.5771
ELK1	.0177	  8	<.0001	.0913	.0174	  1	<.0001	.9010	.0151	17	<.0001	.7968	.0083	40	.2099	.0005
ZFX	.0175	  9	<.0001	.8253	.0076	 24	.8366	.5795	.0103	40	.4348	.0474	.0132	16	.2739	.1572
KLF4	.0173	 10	.1025	.1915	.0072	 28	.8142	.0025	.0143	21	.2312	.0526	.0119	20	.5516	.1159
ESR1	.0169	 11	.0357	.9598	.0106	  7	.0941	.5853	.0127	27	.0888	.7246	.0176	 3	<.0001	.3477
ELK4	.0168	 12	<.0001	.0001	.0125	  4	<.0001	.8057	.0152	16	<.0001	.0183	.0086	39	.1318	.7314
TFAP2C	.0139	 17	.0656	.2318	.0114	  6	.0941	.9574	.0148	19	.037	.5853	.0121	19	.2099	.6754
PLAG1	.0124	 21	.263	.0384	.0092	 15	.4136	.0008	.0219	 5	<.0001	.0371	.0146	 8	.1554	.9523
FOXQ1	.0115	 28	.9318	.4543	.0099	 10	.7905	.5314	.0209	 7	.2846	.0503	.0107	27	.927	.5340
FOSL1	.0082	 57	.9175	.5850	.0061	 41	.6166	.6995	.0220	 4	.037	.8708	.0131	17	.3496	.3686
NFIL3	.0077	 62	.2365	.0404	.0067	 33	.0304	.1191	.0264	 1	.4669	.7605	.0209	 1	.7121	.8650
FOS	.0068	 73	.9175	.5156	.0057	 48	.5212	.6668	.0198	 9	.037	.9500	.0112	24	.5139	.7891
JUNB	.0067	 77	.9318	.0197	.0059	 43	.6392	.9526	.0236	 2	<.0001	.3996	.0146	 9	.2299	.6077
RFX1	.0019	159	.3532	.0361	.0009	164	<.0001	.0885	.0233	 3	<.0001	.0175	.0070	48	.3496	.8285
RFX2	.0019	158	.4041	.0109	.0012	163	.0482	.0059	.0200	 8	<.0001	.0004	.0049	81	.6245	.1345
