"x"
"" "Average within TF ROC, weighted by gold standard hits - DREAM5d motif"
"Degree-only" "0.520590548509248"
"PANDA" "0.510556262793603"
"BERE" "0.551236424207567"
"LDA BERE" "0.586178760126025"
"Full BERE 1" "0.591878971962526"
"Full BERE 2" "0.59425627393042"
"Full BERE 5" "0.595721876805943"
"Full BERE 10" "0.595049445679047"
"Full BERE 15" "0.594094168258495"
"Full BERE 25" "0.592558563329381"
"Full BERE 40" "0.59019439517063"
"Full BERE 1000" "0.567879796927788"
"TF Corr" "0.497453390427894"
"Motifs" "0.5"
