Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	61735	668210	33	0.5877
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	690090	12832654	6486	-0.3658
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	12850124	12867264	5	-2.1729
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	12868035	16690583	2204	-0.3496
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	16691035	16729962	18	-1.4107
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	16749972	16919514	51	-0.3962
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	16919676	16927043	10	-1.3194
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	16930822	20556710	2534	-0.3404
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	20556929	20557323	4	-2.1372
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	20558448	25256850	2698	-0.3513
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	25266637	25346663	34	0.0991
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	25351593	34626073	4926	-0.3344
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	34637053	34637435	6	-2.2125
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	34637541	34638226	5	-0.6126
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	34638263	34638878	8	-3.7472
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	34638890	72297687	23538	-0.316
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	72302735	72345465	48	0.9303
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	72346221	105470754	20823	-0.3094
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	105476583	105479753	17	0.7427
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	105481433	113224635	5298	-0.3019
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	113225129	113233139	4	-2.1845
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	113233561	152583051	7208	-0.3072
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	152583230	152614118	35	0.789
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	152618018	152784330	166	-0.3559
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	152785214	152796224	39	0.3356
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	152801429	158896783	3574	-0.3328
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	158898711	158899969	2	3.4027
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	158905028	210593654	34939	-0.3058
AQUAE_p_TCGA_112_304_b2_N_GenomeWideSNP_6_E10_1348338	1	210593761	210598056	2	-4.7044
